"","Name","Cluster","Percent_Change","Symbol","Industry"
"217","PAN OCEAN CO., LTD.",3,-30.7017543859649,"AZY.SI","Industrials"
"218","PCI LIMITED ",3,-16.2162162162162,"P19.SI","Information Technology"
"219","POLARIS LTD. ",3,0,"5BI.SI","Telecommunications"
"220","Q & M DENTAL GROUP ",3,-54.8387096774194,"QC7.SI","Healthcare"
"221","REGAL INTERNATIONAL GROUP LTD. ",3,-20,"UV1.SI","Information Technology"
"222","SHINVEST HOLDING LTD. ",3,-8.0168776371308,"BJW.SI","Industrials"
"223","SING INVESTMENTS & FINANCE LTD ",3,-9.67741935483871,"S35.SI","Financials"
"224","SINGAPORE EXCHANGE LIMITED",3,-7.14285714285715,"S68.SI","Financials"
"225","SINGAPORE MEDICAL GROUP LTD ",3,-3.61445783132529,"5OT.SI","Healthcare"
"226","SINGAPORE SHIPPING CORP LTD ",3,-9.42028985507246,"S19.SI","Industrials"
"227","SINOCLOUD GROUP LIMITED ",3,-3.22580645161291,"5EK.SI","Information Technology"
"228","SINWA LIMITED",3,-6.66666666666667,"5CN.SI","Industrials"
"229","SOUP RESTAURANT GROUP LIMITED",3,-2.22222222222222,"5KI.SI","Consumer Discretionary"
"230","SOUTHERN PACKAGING GROUP LTD ",3,-6.59898477157361,"BQP.SI","Materials"
"231","SRI TRANG AGRO-INDUSTRY PCL",3,-6.60377358490565,"NC2.SI","Consumer Discretionary"
"232","STAMFORD LAND CORPORATION LTD",3,-11.1111111111111,"H07.SI","Consumer Discretionary"
"233","SYSMA HOLDINGS LIMITED ",3,-15,"5UO.SI","Industrials"
"234","TAI SIN ELECTRIC LIMITED ",3,-11.764705882353,"500.SI","Industrials"
"235","TEE INTERNATIONAL LIMITED ",3,-7.91366906474821,"M1Z.SI","Industrials"
"236","TIANJIN ZHONG XIN PHARM GROUP",3,-0.76923076923077,"T14.SI","Healthcare"
"237","TPV TECHNOLOGY LIMITED ",3,-20,"T18.SI","Information Technology"
"238","TRANSIT-MIXED CONCRETE LTD",3,-3.90625,"570.SI","Materials"
"239","TRAVELITE HOLDINGS LTD. ",3,-2.5,"BCZ.SI","Consumer Discretionary"
"240","TREK 2000 INT'L LTD",3,-4.34782608695652,"5AB.SI","Information Technology"
"241","TRITECH GROUP LIMITED ",3,-4,"5G9.SI","Industrials"
"242","UNITED ENGINEERS LTD ORD ",3,0,"U04.SI","Industrials"
"243","UNITED OVERSEAS AUSTRALIA LTD",3,1.72413793103448,"EH5.SI","Real Estate"
"244","UNITED OVERSEAS BANK LTD ",3,-4.54866839500354,"U11.SI","Financials"
"245","USP GROUP LIMITED",3,0.877192982456141,"BRS.SI","Energy"
"246","VASHION GROUP LTD.",3,-17.5068744271311,"1F4.SI","Consumer Discretionary"
"247","VIBRANT GROUP LIMITED ",3,-1.57894736842104,"BIP.SI","Industrials"
"248","VICOM LTD ",3,-2.29007633587786,"V01.SI","Industrials"
"249","WILLAS-ARRAY ELEC ",3,-8.5972850678733,"BDR.SI","Information Technology"
"250","ZICO HOLDINGS INC.",3,-4.03726708074535,"40W.SI","Industrials"
"251","A-SMART HOLDINGS LTD. ",4,0,"BQC.SI","Industrials"
"252","ABTERRA LTD ",4,-10.2941176470588,"L5I.SI","Industrials"
"253","ACE ACHIEVE INFOCOM LIMITED",4,8.3028083028083,"A75.SI","Telecommunications"
"254","ALIBABA PICTURES GROUP LIMITED",4,7.14285714285715,"S91.SI","Consumer Discretionary"
"255","ALLIED TECHNOLOGIES LIMITED ",4,3.93700787401575,"A13.SI","Industrials"
"256","ANCHUN INTERNATIONAL HLDGS LTD ",4,-2.03045685279188,"BTX.SI","Materials"
"257","ASIATIC GROUP ",4,17.5,"5CR.SI","Industrials"
"258","ASL MARINE HOLDINGS LTD",4,3.34928229665073,"A04.SI","Industrials"
"259","ASPEN GROUP",4,-9.09090909090909,"1F3.SI","Real Estate"
"260","BANYAN TREE HOLDINGS LIMITED",4,-21.2140373063547,"B58.SI","Consumer Discretionary"
"261","CASA HOLDINGS LIMITED ",4,1.23456790123457,"C04.SI","Consumer Discretionary"
"262","COMPACT METAL INDUSTRIES LTD",4,-10,"T4E.SI","Industrials"
"263","CSE GLOBAL LTD",4,4.68085106382978,"544.SI","Information Technology"
"264","DELFI LIMITED",4,11.1111111111111,"P34.SI","Consumer Staples"
"265","EPICENTRE HOLDINGS LIMITED ",4,26.6666666666667,"5MQ.SI","Consumer Discretionary"
"266","EXCELPOINT TECHNOLOGY LTD",4,13.5135135135135,"BDF.SI","Information Technology"
"267","F J BENJAMIN HOLDINGS LTD",4,3.22580645161291,"F10.SI","Consumer Discretionary"
"268","FABCHEM CHINA LIMITED ",4,-3.96825396825397,"BFT.SI","Materials"
"269","GEO ENERGY RESOURCES LIMITED",4,0,"RE4.SI","Energy"
"270","GKE CORPORATION LIMITED ",4,25.6410256410256,"595.SI","Industrials"
"271","GLOBAL TESTING CORPORATION LTD",4,3.6144578313253,"AYN.SI","Information Technology"
"272","HALCYON AGRI CORPORATION LTD",4,4.85436893203884,"5VJ.SI","Industrials"
"273","HOE LEONG CORPORATION LTD.",4,8.10810810810812,"H20.SI","Industrials"
