Name,Symbol,Industry
KING WAN CORPORATION LIMITED ,554.SI,Industrials
KINGSMEN CREATIVES LTD,5MZ.SI,Industrials
KLW HOLDINGS LTD,504.SI,Industrials
KOH BROTHERS ECO ENGG LIMITED,5HV.SI,Industrials
KOH BROTHERS GROUP LIMITED,K75.SI,Industrials
KOON HOLDINGS LIMITED ,5DL.SI,Industrials
KORI HOLDINGS LIMITED ,5VC.SI,Industrials
KOYO INTERNATIONAL LIMITED ,5OC.SI,Industrials
KS ENERGY LIMITED,578.SI,Industrials
KSH HOLDINGS LIMITED ,ER0.SI,Industrials
KTL GLOBAL LIMITED,EB7.SI,Industrials
LEADER ENVIRONMENTAL TECH LTD ,LS9.SI,Industrials
LEY CHOON GROUP HLDG LIMITED,Q0X.SI,Industrials
LIAN BENG GROUP LTD ,L03.SI,Industrials
LIBRA GROUP LIMITED,5TR.SI,Industrials
LOW KENG HUAT,F1E.SI,Industrials
LUM CHANG HOLDINGS LIMITED,L19.SI,Industrials
LUNG KEE BERMUDA,L09.SI,Industrials
LUXKING GROUP HOLDINGS LIMITED,BKK.SI,Industrials
MANHATTAN RESOURCES LIMITED,L02.SI,Industrials
MARCO POLO MARINE LTD. ,5LY.SI,Industrials
MEGACHEM LIMITED,5DS.SI,Industrials
MERCATOR LINES ,EE6.SI,Industrials
METAL COMPONENT ENGG LTD ,5DX.SI,Industrials
METECH INTERNATIONAL LIMITED ,QG1.SI,Industrials
MIYOSHI LIMITED,M03.SI,Industrials
MMP RESOURCES LIMITED ,F3V.SI,Industrials
MOYA HOLDINGS ASIA LIMITED ,5WE.SI,Industrials
MS HOLDINGS LIMITED ,40U.SI,Industrials
MSM INTERNATIONAL LIMITED ,5QR.SI,Industrials
MUN SIONG ENGINEERING LIMITED ,MF6.SI,Industrials
NAM CHEONG LIMITED ,N4E.SI,Industrials
NAM LEE PRESSED METAL INDS LTD,G0I.SI,Industrials
NATURAL COOL HOLDINGS LIMITED,5IF.SI,Industrials
NEO GROUP LIMITED,5UJ.SI,Industrials
NEW WAVE HOLDINGS LTD.,5FX.SI,Industrials
NIPPECRAFT LIMITED,N32.SI,Industrials
NOBLE GROUP LIMITED ,CGP.SI,Industrials
NORDIC GROUP LIMITED ,MR7.SI,Industrials
OKH GLOBAL LTD.,S3N.SI,Industrials
OKP HOLDINGS LIMITED ,5CF.SI,Industrials
P5 CAPITAL HOLDINGS LTD.,5AI.SI,Industrials
